Query String,Sentence,Ambiguity Signature Class,Ground-Truth Contextual Target,Conflicting Classical Parse Output,SpaCy_Raw_Pred,SpaCy_Routed_Context,SpaCy_Generated_Answer,SpaCy_CtxRel,SpaCy_Faith,SpaCy_AnsRel,Agentic_Raw_Pred,Agentic_Routed_Context,Agentic_Generated_Answer,Agentic_CtxRel,Agentic_Faith,Agentic_AnsRel,Quantum_Raw_Pred,Quantum_Routed_Context,Quantum_Generated_Answer,Quantum_CtxRel,Quantum_Faith,Quantum_AnsRel,Quantum_Outperformed_SpaCy,Quantum_Outperformed_Agentic,Quantum_Outperformed_Both
Who is performing the action on the boat?,The old man the boat.,Garden Path,The old are performing the action is the target for: who is performing the action on the boat?,man..,0,man..,The man is performing the action on the boat.,9.990766525268555,6.32407808303833,67.2642593383789,1,The old are performing the action is the target for: who is performing the action on the boat?,The old are performing the action.,82.89384460449219,62.17144012451172,40.375823974609375,1,The old are performing the action is the target for: who is performing the action on the boat?,The old are performing the action.,82.89384460449219,62.17144012451172,40.375823974609375,True,False,False
What accommodates the soldiers?,The complex houses married and single soldiers.,Garden Path,The complex accommodates them.,The complex houses.,0,The complex houses.,The complex houses.,20.905014038085938,99.99998474121094,20.905014038085938,1,The complex accommodates them.,The complex.,41.36493682861328,68.53302764892578,15.48353385925293,1,The complex accommodates them.,The complex.,41.36493682861328,68.53302764892578,15.48353385925293,True,False,False
What acts as the subject of the sentence?,The prime number few.,Garden Path,The prime acts as the subject.,The prime number.,0,The prime number.,The prime number.,17.48285675048828,100.00001525878906,17.48285675048828,1,The prime acts as the subject.,The prime acts as the subject.,54.021080017089844,100.0,54.021080017089844,1,The prime acts as the subject.,The prime acts as the subject.,54.021080017089844,100.0,54.021080017089844,True,False,False
Who is performing the leading?,The blind lead the blind.,Garden Path,The blind is the target for: who is performing the leading?,lead..,1,The blind is the target for: who is performing the leading?,The blind is the target for: the conductor.,59.8729362487793,67.82105255126953,18.121814727783203,1,The blind is the target for: who is performing the leading?,The blind is the target for: the conductor.,59.8729362487793,67.82105255126953,18.121814727783203,1,The blind is the target for: who is performing the leading?,The blind is the target for: the conductor.,59.8729362487793,67.82105255126953,18.121814727783203,False,False,False
Who is running the marathon?,The fast run the marathon.,Garden Path,The fast.,The fast run.,0,The fast run.,The fast run.,59.04961395263672,99.99999237060547,59.04961395263672,0,The fast run.,The fast run.,59.04961395263672,99.99999237060547,59.04961395263672,1,The fast.,The fast.,36.612030029296875,100.0,36.612030029296875,True,True,True
Who requires the medicine?,The sick need the medicine.,Garden Path,The sick.,The sick need.,0,The sick need.,The sick require the medicine.,41.95471954345703,76.9439697265625,71.19589233398438,0,The sick need.,The sick require the medicine.,41.95471954345703,76.9439697265625,71.19589233398438,1,The sick.,The sick.,32.52079391479492,100.0,32.52079391479492,True,True,True
Who is playing the game?,The young play the game.,Garden Path,The young is the target for: who is playing the game?,play..,1,The young is the target for: who is playing the game?,The young is the target for the player.,68.55482482910156,82.34297943115234,38.55866622924805,1,The young is the target for: who is playing the game?,The young is the target for the player.,68.55482482910156,82.34297943115234,38.55866622924805,1,The young is the target for: who is playing the game?,The young is the target for the player.,68.55482482910156,82.34297943115234,38.55866622924805,False,False,False
Who is lifting the weights?,The strong lift the weights.,Garden Path,The strong.,The strong lift.,0,The strong lift.,The strong lift.,65.99732971191406,100.00001525878906,65.99732971191406,0,The strong lift.,The strong lift.,65.99732971191406,100.00001525878906,65.99732971191406,1,The strong.,The strong.,42.09280776977539,100.0,42.09280776977539,True,True,True
Who is afraid of the storm?,The weak fear the storm.,Garden Path,The weak.,The weak fear.,0,The weak fear.,The weak fear.,51.10300827026367,100.0000228881836,51.10300827026367,0,The weak fear.,The weak fear.,51.10300827026367,100.0000228881836,51.10300827026367,1,The weak.,The weak.,28.19972038269043,100.00001525878906,28.19972038269043,True,True,True
Who is solving the puzzle?,The smart solve the puzzle.,Garden Path,The smart is the target for: who is solving the puzzle?,solve..,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the solver.,70.51139831542969,79.69459533691406,41.75564193725586,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the smart.,70.51139831542969,74.84247589111328,18.977365493774414,1,The smart is the target for: who is solving the puzzle?,The smart is the target for: the solver.,70.51139831542969,79.69459533691406,41.75564193725586,False,False,False
Who provides the guidance?,The wise guide the youth.,Garden Path,The wise.,The wise guide.,0,The wise guide.,The wise guide provides the guidance.,48.1793212890625,81.80673217773438,69.51219177246094,0,The wise guide.,The wise guide provides the guidance.,48.1793212890625,81.80673217773438,69.51219177246094,1,The wise.,The wise.,18.042558670043945,100.0,18.042558670043945,True,True,True
Who reaches the top?,The tall reach the top.,Garden Path,The tall.,The tall reach.,0,The tall reach.,The tall reach.,58.45528793334961,100.0,58.45528793334961,0,The tall reach.,The tall reach.,58.45528793334961,100.0,58.45528793334961,1,The tall.,The tall.,51.61737060546875,100.0000228881836,51.61737060546875,True,True,True
Who is winning the race?,The swift win the race.,Garden Path,The swift is the target for: who is winning the race?,win..,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,1,The swift is the target for: who is winning the race?,The swift is.,65.62113952636719,68.32657623291016,20.4825496673584,False,False,False
Who commands the market?,The elite control the market.,Garden Path,The elite.,The elite control.,0,The elite control.,The elite control.,32.35688781738281,100.0000228881836,32.35688781738281,0,The elite control.,The elite control.,32.35688781738281,100.0000228881836,32.35688781738281,1,The elite.,The elite commands the market.,21.06906509399414,68.98786163330078,68.57774353027344,True,True,True
Who is haunting the castle?,The dead haunt the castle.,Garden Path,The dead.,The dead haunt.,0,The dead haunt.,The dead.,49.297393798828125,74.92383575439453,34.447723388671875,0,The dead haunt.,The dead.,49.297393798828125,74.92383575439453,34.447723388671875,1,The dead.,The dead.,34.447723388671875,100.00001525878906,34.447723388671875,True,True,True
Who is consuming the bread?,The hungry eat the bread.,Garden Path,The hungry is the target for: who is consuming the bread?,eat..,1,The hungry is the target for: who is consuming the bread?,The hungry is consuming the bread.,81.60359954833984,84.40128326416016,81.8764419555664,1,The hungry is the target for: who is consuming the bread?,The hungry is consuming the bread.,81.60359954833984,84.40128326416016,81.8764419555664,1,The hungry is the target for: who is consuming the bread?,The hungry is consuming the bread.,81.60359954833984,84.40128326416016,81.8764419555664,False,False,False
Who provides the funding?,The rich fund the charity.,Garden Path,The rich.,The rich fund.,0,The rich fund.,The rich provide the funding.,60.78189468383789,70.62796783447266,73.0243148803711,0,The rich fund.,The rich provide the funding.,60.78189468383789,70.62796783447266,73.0243148803711,1,The rich.,The rich.,38.50060272216797,100.00001525878906,38.50060272216797,True,True,True
Who initiates the charge?,The brave charge the enemy.,Garden Path,The brave.,The brave charge.,0,The brave charge.,The brave charge.,52.66659164428711,100.00001525878906,52.66659164428711,0,The brave charge.,The brave charge.,52.66659164428711,100.00001525878906,52.66659164428711,1,The brave.,The brave initiates the charge.,16.351696014404297,62.91971206665039,63.29227828979492,True,True,True
Who is missing the resources?,The poor lack the resources.,Garden Path,The poor is the target for: who is missing the resources?,lack..,1,The poor is the target for: who is missing the resources?,The poor is the target for who is missing the resources.,68.99018859863281,97.30963134765625,68.84547424316406,1,The poor is the target for: who is missing the resources?,The poor is the target for who is missing the resources.,68.99018859863281,97.30963134765625,68.84547424316406,1,The poor is the target for: who is missing the resources?,The poor is the target for who is missing the resources.,68.99018859863281,97.30963134765625,68.84547424316406,False,False,False
Who attempts the impossible?,The bold dare the impossible.,Garden Path,The bold.,The bold dare.,0,The bold dare.,The bold dare.,23.782955169677734,100.0,23.782955169677734,1,The bold.,The bold.,18.856502532958984,100.00001525878906,18.856502532958984,1,The bold.,The bold.,18.856502532958984,100.00001525878906,18.856502532958984,True,False,False
Who experiences the consequences?,The innocent suffer the consequences.,Garden Path,The innocent.,The innocent suffer.,0,The innocent suffer.,The innocent.,44.756568908691406,79.0744400024414,35.35482406616211,0,The innocent suffer.,The innocent.,44.756568908691406,79.0744400024414,35.35482406616211,1,The innocent.,The innocent.,35.35482406616211,99.99999237060547,35.35482406616211,True,True,True
Who is serving the sentence?,The guilty serve the sentence.,Garden Path,The guilty is the target for: who is serving the sentence?,serve..,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,1,The guilty is the target for: who is serving the sentence?,The guilty is serving the sentence.,75.41361236572266,91.16387176513672,71.9066390991211,False,False,False
Who is roaming the plains?,The free roam the plains.,Garden Path,The free.,The free roam.,0,The free roam.,The free roam.,43.58544921875,100.00001525878906,43.58544921875,0,The free roam.,The free roam.,43.58544921875,100.00001525878906,43.58544921875,1,The free.,The free.,15.603240013122559,100.0,15.603240013122559,True,True,True
Who is roaming the forest?,The wild roam the forest.,Garden Path,The wild.,The wild roam.,0,The wild roam.,The wild roam.,54.42035675048828,100.0,54.42035675048828,0,The wild roam.,The wild roam.,54.42035675048828,100.0,54.42035675048828,1,The wild.,"The wild animals, such as deer, wolves, and bears, are roaming the forest.",46.8264045715332,49.2290153503418,60.14591598510742,True,True,True
Who performs the cleansing?,The very profoundly deeply and incredibly extraordinarily faithful pure aggressively and continuously cleanse the eternal soul.,Garden Path,The pure is the target for: who performs the cleansing?,cleanse..,1,The pure is the target for: who performs the cleansing?,The pure is the target for the one who performs the cleansing.,77.75524139404297,93.68475341796875,63.95314407348633,1,The pure is the target for: who performs the cleansing?,The pure is the target for the one who performs the cleansing.,77.75524139404297,93.68475341796875,63.95314407348633,0,cleanse..,"The one who performs the cleansing is the ""I"" (the self).",56.36719512939453,45.485836029052734,80.35778045654297,False,False,False
What is the primary action of the horse?,The horse raced past the barn fell.,Reduced Relative,The horse fell is the primary action.,The horse raced.,0,The horse raced.,The primary action of the horse is racing.,55.10036849975586,73.57664489746094,83.52774047851562,1,The horse fell is the primary action.,The horse fell.,81.58409881591797,79.9122314453125,56.826358795166016,1,The horse fell is the primary action.,The primary action of the horse is the horse fell.,81.58409881591797,97.17269897460938,79.6977767944336,True,False,False
What was the state of the florist?,The florist sent the flowers was pleased.,Reduced Relative,The florist was pleased was the state.,The florist sent.,1,The florist was pleased was the state.,The florist was pleased was the state.,82.19384002685547,100.0,82.19384002685547,1,The florist was pleased was the state.,The florist was pleased was the state.,82.19384002685547,100.0,82.19384002685547,0,The florist sent.,The state of the florist is that it sent.,67.81143188476562,85.10626220703125,76.80104064941406,False,False,False
What did the student ultimately do?,The student asked the question hesitated.,Reduced Relative,The student hesitated ultimately is the target for: what did the student ultimately do?,asked..,1,The student hesitated ultimately is the target for: what did the student ultimately do?,The student hesitated ultimately is the target for: hesitated.,79.27123260498047,84.75318145751953,49.92852020263672,1,The student hesitated ultimately is the target for: what did the student ultimately do?,The student hesitated ultimately is the target for: hesitated.,79.27123260498047,84.75318145751953,49.92852020263672,1,The student hesitated ultimately is the target for: what did the student ultimately do?,The student hesitated ultimately is the target for: hesitated.,79.27123260498047,84.75318145751953,49.92852020263672,False,False,False
What was the final action of the suspect?,The suspect interrogated by the police confessed.,Reduced Relative,The suspect confessed.,The suspect interrogated.,1,The suspect confessed.,The suspect confessed.,71.36026000976562,100.0000228881836,71.36026000976562,0,The suspect interrogated.,The final action of the suspect was the suspect interrogated.,70.0461654663086,86.62774658203125,87.16114807128906,1,The suspect confessed.,The suspect confessed.,71.36026000976562,100.0000228881836,71.36026000976562,False,True,False
What happened to the car?,The car driven past the house crashed.,Reduced Relative,The car crashed.,The car driven.,1,The car crashed.,The car crashed.,71.7978515625,99.99998474121094,71.7978515625,1,The car crashed.,The car crashed.,71.7978515625,99.99998474121094,71.7978515625,1,The car crashed.,The car crashed.,71.7978515625,99.99998474121094,71.7978515625,False,False,False
What did the athlete do?,The athlete injured in the game cried.,Reduced Relative,The athlete cried is the target for: what did the athlete do?,injured..,1,The athlete cried is the target for: what did the athlete do?,The athlete cried.,76.2120132446289,86.99174499511719,59.13382339477539,1,The athlete cried is the target for: what did the athlete do?,The athlete cried.,76.2120132446289,86.99174499511719,59.13382339477539,1,The athlete cried is the target for: what did the athlete do?,The athlete cried.,76.2120132446289,86.99174499511719,59.13382339477539,False,False,False
What was the action of the man?,The man bitten by the dog howled.,Reduced Relative,The man howled.,The man bitten.,1,The man howled.,The action of the man was howling.,44.96146011352539,77.71064758300781,66.9991455078125,1,The man howled.,The man howled.,44.96146011352539,100.0,44.96146011352539,1,The man howled.,The man howled.,44.96146011352539,100.0,44.96146011352539,False,False,False
What did the child do?,The child pushed down the slide laughed.,Reduced Relative,The child laughed.,The child pushed.,0,The child pushed.,The child pushed.,70.41588592529297,100.0,70.41588592529297,0,The child pushed.,The child pushed.,70.41588592529297,100.0,70.41588592529297,1,The child laughed.,The child laughed.,58.0418586730957,100.0,58.0418586730957,True,True,True
What action did the woman take?,The woman painted by the artist smiled.,Reduced Relative,The woman smiled is the target for: what action did the woman take?,painted..,1,The woman smiled is the target for: what action did the woman take?,The woman smiled.,80.0981674194336,71.67400360107422,39.7931022644043,1,The woman smiled is the target for: what action did the woman take?,The woman smiled.,80.0981674194336,71.67400360107422,39.7931022644043,1,The woman smiled is the target for: what action did the woman take?,The woman smiled.,80.0981674194336,71.67400360107422,39.7931022644043,False,False,False
What did the bird do?,The bird watched by the cat flew.,Reduced Relative,The bird flew.,The bird watched.,1,The bird flew.,The bird flew.,77.08616638183594,99.99999237060547,77.08616638183594,0,The bird watched.,The bird watched.,75.43102264404297,100.0,75.43102264404297,1,The bird flew.,The bird flew.,77.08616638183594,99.99999237060547,77.08616638183594,False,True,False
What was the fate of the ship?,The ship sailed across the sea sank.,Reduced Relative,The ship sank.,The ship sailed.,0,The ship sailed.,The ship sailed.,73.8408432006836,100.00001525878906,73.8408432006836,0,The ship sailed.,The ship sailed.,73.8408432006836,100.00001525878906,73.8408432006836,1,The ship sank.,The ship sank.,75.76300811767578,100.0,75.76300811767578,True,True,True
What happened to the letter?,The letter mailed to the boss vanished.,Reduced Relative,The letter vanished is the target for: what happened to the letter?,mailed..,1,The letter vanished is the target for: what happened to the letter?,The letter vanished is the target for: it vanished.,87.78633117675781,91.28996276855469,70.81341552734375,1,The letter vanished is the target for: what happened to the letter?,The letter vanished is the target for: it vanished.,87.78633117675781,91.28996276855469,70.81341552734375,1,The letter vanished is the target for: what happened to the letter?,The letter vanished is the target for: it vanished.,87.78633117675781,91.28996276855469,70.81341552734375,False,False,False
What did the gold do?,The gold mined from the cave gleamed.,Reduced Relative,The gold gleamed.,The gold mined.,1,The gold gleamed.,The gold gleamed.,66.15816497802734,100.00001525878906,66.15816497802734,0,The gold mined.,The gold was mined.,78.6372299194336,93.42879486083984,82.66545867919922,1,The gold gleamed.,The gold gleamed.,66.15816497802734,100.00001525878906,66.15816497802734,False,True,False
What happened to the food?,The food cooked by the chef burned.,Reduced Relative,The food burned.,The food cooked.,1,The food burned.,The food burned.,69.06878662109375,99.99999237060547,69.06878662109375,0,The food cooked.,The food cooked.,64.79370880126953,100.0,64.79370880126953,1,The food burned.,The food burned.,69.06878662109375,99.99999237060547,69.06878662109375,False,True,False
What did the song do?,The song sung by the choir echoed.,Reduced Relative,The song echoed is the target for: what did the song do?,sung..,1,The song echoed is the target for: what did the song do?,The song echoed.,77.30225372314453,81.11466217041016,61.0703125,1,The song echoed is the target for: what did the song do?,The song echoed.,77.30225372314453,81.11466217041016,61.0703125,1,The song echoed is the target for: what did the song do?,The song echoed.,77.30225372314453,81.11466217041016,61.0703125,False,False,False
What happened to the book?,The book read by the class vanished.,Reduced Relative,The book vanished.,The book read.,1,The book vanished.,The book vanished.,81.73957061767578,99.99998474121094,81.73957061767578,1,The book vanished.,The book vanished.,81.73957061767578,99.99998474121094,81.73957061767578,0,The book read.,The book read.,59.941226959228516,100.00001525878906,59.941226959228516,False,False,False
What was the outcome of the movie?,The movie directed by the star flopped.,Reduced Relative,The movie flopped.,The movie directed.,1,The movie flopped.,The movie flopped.,62.1256217956543,99.99999237060547,62.1256217956543,1,The movie flopped.,The movie flopped.,62.1256217956543,99.99999237060547,62.1256217956543,1,The movie flopped.,The movie flopped.,62.1256217956543,99.99999237060547,62.1256217956543,False,False,False
What did the play do?,The play rehearsed in the hall started.,Reduced Relative,The play started is the target for: what did the play do?,rehearsed..,1,The play started is the target for: what did the play do?,The play started is the target for: started.,84.7208480834961,79.45256042480469,50.02116012573242,1,The play started is the target for: what did the play do?,The play started is the target for: started.,84.7208480834961,79.45256042480469,50.02116012573242,1,The play started is the target for: what did the play do?,The play started is the target for: started.,84.7208480834961,79.45256042480469,50.02116012573242,False,False,False
What did the team achieve?,The team coached by the veteran won.,Reduced Relative,The team won.,The team coached.,1,The team won.,The team won.,62.43955612182617,100.00001525878906,62.43955612182617,1,The team won.,The team won.,62.43955612182617,100.00001525878906,62.43955612182617,1,The team won.,The team won.,62.43955612182617,100.00001525878906,62.43955612182617,False,False,False
What action did the army take?,The army led into battle charged.,Reduced Relative,The army charged.,The army led.,1,The army charged.,The army charged.,66.0302505493164,100.00001525878906,66.0302505493164,1,The army charged.,The army charged.,66.0302505493164,100.00001525878906,66.0302505493164,1,The army charged.,The army charged.,66.0302505493164,100.00001525878906,66.0302505493164,False,False,False
What was the outcome for the patient?,The patient treated by the nurse recovered.,Reduced Relative,The patient recovered is the target for: what was the outcome for the patient?,treated..,1,The patient recovered is the target for: what was the outcome for the patient?,The patient recovered.,76.31468963623047,74.4502182006836,72.85041809082031,1,The patient recovered is the target for: what was the outcome for the patient?,The patient recovered.,76.31468963623047,74.4502182006836,72.85041809082031,1,The patient recovered is the target for: what was the outcome for the patient?,The patient recovered.,76.31468963623047,74.4502182006836,72.85041809082031,False,False,False
What did the code do?,The code written by the dev compiled.,Reduced Relative,The code compiled.,The code written.,1,The code compiled.,The code compiled.,65.4817123413086,100.0,65.4817123413086,0,The code written.,The code written.,75.54869842529297,100.00001525878906,75.54869842529297,1,The code compiled.,The code compiled.,65.4817123413086,100.0,65.4817123413086,False,True,False
What happened to the cake?,The cake baked by the mom cooled.,Reduced Relative,The cake cooled.,The cake baked.,1,The cake cooled.,The cake cooled.,67.32878875732422,100.0,67.32878875732422,1,The cake cooled.,The cake cooled.,67.32878875732422,100.0,67.32878875732422,1,The cake cooled.,The cake cooled.,67.32878875732422,100.0,67.32878875732422,False,False,False
What did the window do?,The window broken by the rock shattered.,Reduced Relative,The window shattered is the target for: what did the window do?,broken..,1,The window shattered is the target for: what did the window do?,The window shattered.,87.27355194091797,87.23489379882812,75.82508087158203,1,The window shattered is the target for: what did the window do?,The window shattered.,87.27355194091797,87.23489379882812,75.82508087158203,1,The window shattered is the target for: what did the window do?,The window shattered.,87.27355194091797,87.23489379882812,75.82508087158203,False,False,False
What happened to the tree?,The incredibly ancient and massively towering oak tree suddenly struck by the fiercely violent lightning dramatically split.,Reduced Relative,The tree split.,The tree struck.,1,The tree split.,The tree split.,69.93888854980469,100.0000228881836,69.93888854980469,0,The tree struck.,The tree struck.,72.39396667480469,100.00001525878906,72.39396667480469,1,The tree split.,The tree split.,69.93888854980469,100.0000228881836,69.93888854980469,False,True,False
What physical object made direct contact to crush the garlic?,"Using the silk napkin, the chef crushed the garlic, completely ignoring the garlic press.",Instrumental Fronting,The silk napkin made direct contact.,The garlic press.,0,The garlic press.,The garlic press.,61.433387756347656,100.00001525878906,61.433387756347656,1,The silk napkin made direct contact.,The silk napkin.,41.3492431640625,83.7902603149414,31.882186889648438,1,The silk napkin made direct contact.,The silk napkin.,41.3492431640625,83.7902603149414,31.882186889648438,True,False,False
What physical object made direct contact to till the soil?,"Using the wooden stick, the farmer tilled the soil, completely ignoring the soil plow.",Instrumental Fronting,The wooden stick made direct contact is the target for: what physical object made direct contact to till the soil?,plow..,1,The wooden stick made direct contact is the target for: what physical object made direct contact to till the soil?,The physical object made direct contact to till the soil is the plow.,83.92997741699219,71.18133544921875,80.17713165283203,1,The wooden stick made direct contact is the target for: what physical object made direct contact to till the soil?,The physical object made direct contact to till the soil is the plow.,83.92997741699219,71.18133544921875,80.17713165283203,1,The wooden stick made direct contact is the target for: what physical object made direct contact to till the soil?,The physical object made direct contact to till the soil is the plow.,83.92997741699219,71.18133544921875,80.17713165283203,False,False,False
What physical object made direct contact to crack the rock?,"Using the wooden mallet, the miner cracked the rock, completely ignoring the rock drill.",Instrumental Fronting,The wooden mallet made direct contact.,The rock drill.,0,The rock drill.,The rock drill.,47.267704010009766,99.99999237060547,47.267704010009766,1,The wooden mallet made direct contact.,The wooden mallet.,35.86294174194336,80.91007232666016,27.534229278564453,1,The wooden mallet made direct contact.,The wooden mallet.,35.86294174194336,80.91007232666016,27.534229278564453,True,False,False
What physical object made direct contact to filter the water?,"Using the cotton shirt, the camper filtered the water, completely ignoring the water mesh.",Instrumental Fronting,The cotton shirt made direct contact.,The water mesh.,0,The water mesh.,The water mesh.,55.42660903930664,100.0,55.42660903930664,1,The cotton shirt made direct contact.,The cotton shirt.,31.826717376708984,79.7738037109375,17.999094009399414,1,The cotton shirt made direct contact.,The cotton shirt.,31.826717376708984,79.7738037109375,17.999094009399414,True,False,False
What physical object made direct contact to drive the nail?,"Using the wet noodle, the carpenter drove the nail, completely ignoring the nail hammer.",Instrumental Fronting,The wet noodle made direct contact is the target for: what physical object made direct contact to drive the nail?,hammer..,1,The wet noodle made direct contact is the target for: what physical object made direct contact to drive the nail?,A hammer.,84.5535659790039,37.84443664550781,46.586585998535156,1,The wet noodle made direct contact is the target for: what physical object made direct contact to drive the nail?,A hammer.,84.5535659790039,37.84443664550781,46.586585998535156,0,hammer..,The hammer.,41.48814010620117,85.39532470703125,39.3824462890625,False,False,False
What physical object made direct contact to tighten the bolt?,"Using the glass slipper, the mechanic tightened the bolt, completely ignoring the bolt wrench.",Instrumental Fronting,The glass slipper made direct contact to tighten the bolt.,The bolt wrench.,1,The glass slipper made direct contact to tighten the bolt.,The glass slipper.,72.02875518798828,49.0262336730957,19.748319625854492,1,The glass slipper made direct contact to tighten the bolt.,The glass slipper.,72.02875518798828,49.0262336730957,19.748319625854492,1,The glass slipper made direct contact to tighten the bolt.,The glass slipper.,72.02875518798828,49.0262336730957,19.748319625854492,False,False,False
